Label,# Samples,Average,Median,90% Line,98% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Launch Login Page,50,1101,1139,1223,1339,1353,441,1353,0.000%,.99928,7.07,0.53
Submit Name and Email,50,357,349,397,494,719,277,719,0.000%,1.01696,19.44,1.61
Full Signup Page,50,870,836,1004,1210,1390,651,1390,0.000%,1.00845,7.16,4.69
Get Account Created Page,50,335,335,378,412,459,263,459,0.000%,1.01935,6.32,0.67
User Registration Flow,50,2665,2645,2922,3264,3291,1838,3291,0.000%,.97142,38.37,7.22
Browse All Products,50,401,382,478,546,684,292,684,0.000%,1.02105,48.56,0.67
View Product Details,50,392,364,444,734,916,306,916,0.000%,1.02233,12.95,0.68
AddingProductToCart,50,366,352,463,495,626,280,626,0.000%,1.02354,0.76,0.70
View Cart,50,360,357,390,498,592,293,592,0.000%,1.02411,10.17,0.67
Proceed to Checkout,50,388,359,446,767,827,289,827,0.000%,1.02530,9.88,0.67
GetPaymentPage,50,350,344,376,599,654,277,654,0.000%,1.02779,8.55,0.73
PostPaymentPage,50,1714,1706,1790,1997,2122,1575,2122,0.000%,1.00273,7.11,1.62
LogOut,50,719,695,799,1287,1427,565,1427,0.000%,1.02577,8.17,1.34
Debug Sampler,50,1,0,1,2,33,0,33,0.000%,1.04206,0.90,0.00
Post Signup Journey,50,4694,4674,5064,5782,5936,3989,5936,0.000%,.94983,99.52,6.59
TOTAL,750,981,390,2645,4755,4969,0,5936,0.000%,13.52180,260.12,25.90
